time (min),response
8.48,0.010869000481429853
8.49,0.010274580041371743
8.5,0.009704001841667748
8.51,0.009157269593079428
8.52,0.008634266120643254
8.53,0.00813476530696016
8.54,0.007658443872927884
8.55,0.007204892877418409
8.56,0.006773628833944382
8.57,0.006364104358709444
8.58,0.005975718280326305
8.59,0.00560782515666509
8.6,0.005259744158579094
8.61,0.0049307672934852725
8.62,0.00462016695384344
8.63,0.004327202786405132
8.64,0.004051127887651073
8.65,0.003791194339094371
8.66,0.0035466581031177178
8.67,0.0033167833057722623
8.68,0.003100845937560804
8.69,0.0028981370067306575
8.7,0.0027079651821011277
8.71,0.002529658964042274
8.72,0.00236256842300576
8.73,0.0022060665450858454
8.74,0.0020595502235624483
8.75,0.001922440934343047
8.76,0.0017941851317730992
8.77,0.0016742543995106106
8.78,0.0015621453891411442
8.79,0.001457379577017242
8.8,0.0013595028675060994
8.81,0.001268085068478137
8.82,0.0011827192625149452
8.83,0.0011030210950006799
8.84,0.001028627998017684
8.85,0.0009591983668243998
8.86,0.0008944107036709477
8.87,0.000833962741821197
8.88,0.0007775705609105028
8.89,0.0007249677031823483
8.9,0.0006759042987179444
8.91,0.0006301462065020769
8.92,0.0005874741770534009
8.93,0.0005476830413864631
8.94,0.0005105809302612626
8.95,0.0004759885270100358
8.96,0.0004437383567057003
8.97,0.0004136741140476151
8.98,0.00038565003208414087
8.99,0.00035953029376525403
9.0,0.000335188488319323
9.01,0.000312507114575673
9.02,0.00029137713360819173
9.03,0.000271697573456123
9.04,0.0002533751891883378
9.05,0.0002363241822195491
9.06,0.00022046598356471758
9.07,0.00020572910663505613
9.08,0.00019204907623975224
9.09,0.00017936844166498422
9.1,0.00016763688305903172
9.11,0.00015681142186016063
9.12,0.00014685674766159217
9.13,0.0001377456757111861
9.14,0.00012945975118466553
9.15,0.00012199001843760568
9.16,0.00011533797561469236
9.17,0.00010951673724946569
9.18,0.00010455242979081853
9.19,0.0001004858473014817
9.2,9.737439683619203e-05
9.21,9.529436515960423e-05
9.22,9.434354043070498e-05
9.23,9.464422417326227e-05
9.24,9.634667016937552e-05
9.25,9.963298774089686e-05
9.26,0.00010472154709396983
9.27,0.00011187192385555334
9.28,0.00012139041847721144
9.29,0.0001336361836613847
9.3,0.00014902798921345953
9.31,0.00016805164857095913
9.32,0.00019126812454257493
9.33,0.0002193223233440598
9.34,0.000252952575697825
9.35,0.00029300079143937277
9.36,0.00034042325964434364
9.37,0.00039630204968714656
9.38,0.00046185694984085714
9.39,0.0005384578590550501
9.4,0.0006276375244907781
9.41,0.0007311044924052518
9.42,0.0008507561132965653
9.43,0.000988691414156413
9.44,0.001147223621641951
9.45,0.0013288920904651795
9.46,0.0015364733619019832
9.47,0.0017729910487291943
9.48,0.0020417242158834005
9.49,0.0023462139015532823
9.5,0.002690267402200725
9.51,0.0030779599281324692
9.52,0.0035136332247373866
9.53,0.004001890749395214
9.54,0.004547588996373164
9.55,0.005155824572733179
9.56,0.005831916648277497
9.57,0.0065813844326567525
9.58,0.0074099193735906715
9.59,0.008323351822177034
9.6,0.009327611974720764
9.61,0.010428684975395203
9.62,0.011632560150051381
9.63,0.01294517443801553
9.64,0.014372350194819375
9.65,0.01591972765322888
9.66,0.017592692451032264
9.67,0.01939629875989645
9.68,0.02133518867789313
9.69,0.023413508676495026
9.7,0.025634824018117473
9.71,0.028002032179634363
9.72,0.03051727642756612
9.73,0.03318186078864003
9.74,0.03599616774191673
9.75,0.03895958002264071
9.76,0.0420704079704455
9.77,0.04532582387296577
9.78,0.048721804748032456
9.79,0.05225308497169757
9.8,0.05591312009414713
9.81,0.05969406309050771
9.82,0.06358675416874697
9.83,0.06758072510305609
9.84,0.07166421887989972
9.85,0.0758242252375372
9.86,0.0800465324513134
9.87,0.08431579547006918
9.88,0.0886156202479508
9.89,0.09292866384556456
9.9,0.09723674960015409
9.91,0.10152099639183783
9.92,0.10576196076783255
9.93,0.10993979043477715
9.94,0.1140343873965582
9.95,0.11802557880690437
9.96,0.12189329342753025
9.97,0.1256177414383149
9.98,0.12917959523974548
9.99,0.13256016882265365
10.0,0.13574159325834181
10.01,0.13870698588465918
10.02,0.14144061083066892
10.03,0.14392802863337512
